gas_case,ndc_scenario,year,gas_shadow_usd_per_twh_th
baseline,baseline_no_policy,2025,4292732100.0
baseline,baseline_no_policy,2026,25681633.0
baseline,baseline_no_policy,2027,22431778.0
baseline,baseline_no_policy,2028,19299796.0
baseline,baseline_no_policy,2029,16676053.0
baseline,baseline_no_policy,2030,14472475.0
baseline,baseline_no_policy,2031,12335811.0
baseline,baseline_no_policy,2032,10561319.0
baseline,baseline_no_policy,2033,9084614.8
baseline,baseline_no_policy,2034,7641923.6
baseline,baseline_no_policy,2035,2059819.8
baseline,baseline_no_policy,2036,2289644.9
baseline,baseline_no_policy,2037,1575942.1
baseline,baseline_no_policy,2038,1394375.2
baseline,baseline_no_policy,2039,884618.9
baseline,baseline_no_policy,2040,1120723.7
baseline,baseline_no_policy,2041,990064.75
baseline,baseline_no_policy,2042,873899.8
baseline,baseline_no_policy,2043,770673.4
baseline,baseline_no_policy,2044,678993.11
baseline,baseline_no_policy,2045,15215047.0
upside,baseline_no_policy,2025,4292732100.0
upside,baseline_no_policy,2026,25681633.0
upside,baseline_no_policy,2027,22431778.0
upside,baseline_no_policy,2028,19299796.0
upside,baseline_no_policy,2029,16676053.0
upside,baseline_no_policy,2030,14472475.0
upside,baseline_no_policy,2031,12335811.0
upside,baseline_no_policy,2032,10561319.0
upside,baseline_no_policy,2033,9084614.8
upside,baseline_no_policy,2034,7641923.6
upside,baseline_no_policy,2035,2059819.8
upside,baseline_no_policy,2036,2289644.9
upside,baseline_no_policy,2037,1575942.1
upside,baseline_no_policy,2038,1394375.2
upside,baseline_no_policy,2039,884618.9
upside,baseline_no_policy,2040,1120723.7
upside,baseline_no_policy,2041,990064.75
upside,baseline_no_policy,2042,873899.8
upside,baseline_no_policy,2043,770673.4
upside,baseline_no_policy,2044,678993.11
upside,baseline_no_policy,2045,15215047.0
downside,baseline_no_policy,2025,4292732100.0
downside,baseline_no_policy,2026,3902483800.0
downside,baseline_no_policy,2027,468129640.0
downside,baseline_no_policy,2028,407353910.0
downside,baseline_no_policy,2029,355829760.0
downside,baseline_no_policy,2030,312018050.0
downside,baseline_no_policy,2031,269964960.0
downside,baseline_no_policy,2032,234534650.0
downside,baseline_no_policy,2033,204600580.0
downside,baseline_no_policy,2034,175716670.0
downside,baseline_no_policy,2035,78257699.0
downside,baseline_no_policy,2036,78097138.0
downside,baseline_no_policy,2037,62568580.0
downside,baseline_no_policy,2038,56241980.0
downside,baseline_no_policy,2039,44743604.0
downside,baseline_no_policy,2040,45953251.0
downside,baseline_no_policy,2041,41295933.0
downside,baseline_no_policy,2042,37105621.0
downside,baseline_no_policy,2043,33335895.0
downside,baseline_no_policy,2044,29944916.0
downside,baseline_no_policy,2045,270603640.0
shock_recovery,baseline_no_policy,2025,4292732100.0
shock_recovery,baseline_no_policy,2026,25681633.0
shock_recovery,baseline_no_policy,2027,22431778.0
shock_recovery,baseline_no_policy,2028,19299796.0
shock_recovery,baseline_no_policy,2029,16676053.0
shock_recovery,baseline_no_policy,2030,14472475.0
shock_recovery,baseline_no_policy,2031,12335811.0
shock_recovery,baseline_no_policy,2032,10561319.0
shock_recovery,baseline_no_policy,2033,9084614.8
shock_recovery,baseline_no_policy,2034,7641923.6
shock_recovery,baseline_no_policy,2035,2059819.8
shock_recovery,baseline_no_policy,2036,2289644.9
shock_recovery,baseline_no_policy,2037,1575942.1
shock_recovery,baseline_no_policy,2038,1394375.2
shock_recovery,baseline_no_policy,2039,884618.9
shock_recovery,baseline_no_policy,2040,1120723.7
shock_recovery,baseline_no_policy,2041,990064.75
shock_recovery,baseline_no_policy,2042,873899.8
shock_recovery,baseline_no_policy,2043,770673.4
shock_recovery,baseline_no_policy,2044,678993.11
shock_recovery,baseline_no_policy,2045,15215047.0
baseline,ndc3_unconditional,2025,4292732100.0
baseline,ndc3_unconditional,2026,0.0
baseline,ndc3_unconditional,2027,0.0
baseline,ndc3_unconditional,2028,0.0
baseline,ndc3_unconditional,2029,0.0
baseline,ndc3_unconditional,2030,0.0
baseline,ndc3_unconditional,2031,0.0
baseline,ndc3_unconditional,2032,0.0
baseline,ndc3_unconditional,2033,0.0
baseline,ndc3_unconditional,2034,0.0
baseline,ndc3_unconditional,2035,0.0
baseline,ndc3_unconditional,2036,0.0
baseline,ndc3_unconditional,2037,0.0
baseline,ndc3_unconditional,2038,0.0
baseline,ndc3_unconditional,2039,0.0
baseline,ndc3_unconditional,2040,0.0
baseline,ndc3_unconditional,2041,0.0
baseline,ndc3_unconditional,2042,0.0
baseline,ndc3_unconditional,2043,0.0
